t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,0.520856,nan,-199.177308,0.899357,0.881976,0
0.005000,1.569182,1.562225,0.006957,-259.267475,0.881976,0.859350,0
0.010000,3.128689,2.082565,1.046124,-377.787473,0.859350,0.826382,0
0.015000,4.668907,2.602562,2.066345,-484.854236,0.826382,0.784071,0
0.020000,6.180340,4.677418,1.502922,-396.831723,0.784071,0.749441,0
0.025000,7.653669,5.710593,1.943076,-429.746776,0.749441,0.711938,0
0.030000,9.079810,6.801315,2.278495,-447.791242,0.711938,0.672861,0
0.035000,10.449971,8.350753,2.099219,-407.024481,0.672861,0.637341,0
0.040000,11.755705,9.977713,1.777992,-352.498868,0.637341,0.606580,0
0.045000,12.988961,10.491477,2.497484,-409.673380,0.606580,0.570829,0
0.050000,14.142136,12.131321,2.010815,-338.605179,0.570829,0.541280,0
0.055000,15.208119,13.150949,2.057171,-325.777887,0.541280,0.512851,0
0.060000,16.180340,14.664461,1.515878,-255.475669,0.512851,0.490557,0
0.065000,17.052803,15.802514,1.250289,-214.921389,0.490557,0.471801,0
0.070000,17.820130,16.448608,1.371522,-213.476996,0.471801,0.453172,0
0.075000,18.477591,16.949224,1.528366,-215.690150,0.453172,0.434349,0
0.080000,19.021130,18.103763,0.917367,-141.044322,0.434349,0.422041,0
0.085000,19.447398,17.942447,1.504951,-185.903353,0.422041,0.405818,0
0.090000,19.753767,19.093492,0.660275,-86.559682,0.405818,0.398264,0
0.095000,19.938347,19.265264,0.673082,-72.923714,0.398264,0.391900,0
0.100000,20.000000,19.759471,0.240529,-14.091944,0.391900,0.390670,0
0.105000,19.938347,19.583994,0.354353,-10.522733,0.390670,0.389752,0
0.110000,19.753767,19.759471,-0.005704,40.875764,0.389752,0.393319,0
0.115000,19.447398,19.583994,-0.136595,68.753192,0.393319,0.399319,0
0.120000,19.021130,19.265264,-0.244134,93.807719,0.399319,0.407505,0
0.125000,18.477591,19.265264,-0.787674,162.224394,0.407505,0.421662,0
0.130000,17.820130,18.103763,-0.283633,124.147056,0.421662,0.432496,0
0.135000,17.052803,18.600066,-1.547263,262.989749,0.432496,0.455446,0
