t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,9.977713,nan,-1795.802155,0.618076,0.461362,0
0.005000,27.057592,16.301708,10.755883,-1403.649456,0.461362,0.338871,0
0.010000,30.730562,21.223657,9.506906,-1250.329053,0.338871,0.229759,0
0.015000,33.833196,26.333086,7.500111,-959.196812,0.229759,0.146053,0
0.020000,36.311349,30.068583,6.242766,-796.268460,0.146053,0.076566,0
0.025000,38.135093,32.391393,5.743699,-667.964093,0.076566,0.018275,0
0.030000,39.299541,34.992020,4.307521,-466.045266,0.018275,-0.022395,0
0.035000,39.824654,36.450923,3.373731,-327.063993,-0.022395,-0.050937,0
0.040000,39.754018,37.600405,2.153613,-144.514124,-0.050937,-0.063548,0
0.045000,39.152661,38.011510,1.141150,25.388320,-0.063548,-0.061332,0
0.050000,38.104000,38.011510,0.092490,186.433928,-0.061332,-0.045063,0
0.055000,36.706044,37.284326,-0.578282,276.875958,-0.045063,-0.020901,0
0.060000,35.067009,36.450923,-1.383915,354.636113,-0.020901,0.010047,0
0.065000,33.300535,35.417055,-2.116520,406.189527,0.010047,0.045494,0
0.070000,31.520712,33.835120,-2.314408,402.633122,0.045494,0.080630,0
0.075000,29.837099,32.391393,-2.554294,404.189422,0.080630,0.115902,0
0.080000,28.349978,30.963757,-2.613779,381.325840,0.115902,0.149179,0
0.085000,27.146005,29.614812,-2.468807,326.706808,0.149179,0.177690,0
0.090000,26.294477,28.902357,-2.607880,291.939619,0.177690,0.203166,0
0.095000,25.844335,27.734191,-1.889855,174.326409,0.203166,0.218379,0
0.100000,25.822062,26.565051,-0.742990,19.630383,0.218379,0.220092,0
0.105000,26.230527,27.030860,-0.800333,-18.338764,0.220092,0.218492,0
0.110000,27.048866,27.030860,0.018006,-133.678647,0.218492,0.206826,0
0.115000,28.233365,27.269472,0.963893,-254.991084,0.206826,0.184574,0
0.120000,29.719331,28.194979,1.524351,-333.879607,0.184574,0.155437,0
0.125000,31.423871,29.614812,1.809059,-377.734893,0.155437,0.122474,0
0.130000,33.249457,30.963757,2.285701,-425.048841,0.122474,0.085381,0
0.135000,35.088128,32.391393,2.696735,-447.269411,0.085381,0.046350,0
0.140000,36.826159,33.835120,2.991039,-447.378016,0.046350,0.007309,0
