t,ref_mean_deg,meas_mean_deg
0.000000,1.569182,0.684997
0.005000,3.128689,1.236408
0.010000,4.668907,2.597009
0.015000,6.180340,3.978149
0.020000,7.653669,5.792796
0.025000,9.079810,7.295203
0.030000,10.449971,8.714733
0.035000,11.755705,9.689412
0.040000,12.988961,11.228892
0.045000,14.142136,12.393785
0.050000,15.208119,13.232915
0.055000,16.180340,14.504613
0.060000,17.052803,15.546327
0.065000,17.820130,16.475378
0.070000,18.477591,17.001584
0.075000,19.021130,18.043412
0.080000,19.447398,18.434357
0.085000,19.753767,19.218375
0.090000,19.938347,19.348472
0.095000,20.000000,19.607425
0.100000,19.938347,19.607425
0.105000,19.753767,19.607425
0.110000,19.447398,19.348472
0.115000,19.021130,19.218375
0.120000,18.477591,18.783772
0.125000,17.820130,18.304437
0.130000,17.052803,17.650124
0.135000,16.180340,16.738759
0.140000,15.208119,15.832387
0.145000,14.142136,15.302673
0.150000,12.988961,14.603671
0.155000,11.755705,13.570142
0.160000,10.449971,12.094893
0.165000,9.079810,11.363806
0.170000,7.653669,9.394384
0.175000,6.180340,7.974949
0.180000,4.668907,6.613234
0.185000,3.128689,4.672117
0.190000,1.569182,3.293965
0.195000,-0.000000,2.060111
0.200000,-1.569182,0.412193
0.205000,-3.128689,-0.957773
0.210000,-4.668907,-2.745864
0.215000,-6.180340,-3.978149
0.220000,-7.653669,-5.479171
0.225000,-9.079810,-7.124700
0.230000,-10.449971,-8.246042
0.235000,-11.755705,-9.754840
0.240000,-12.988961,-10.880235
0.245000,-14.142136,-12.573268
0.250000,-15.208119,-13.240520
0.255000,-16.180340,-14.534455
0.260000,-17.052803,-15.063251
0.265000,-17.820130,-15.832387
0.270000,-18.477591,-16.738759
0.275000,-19.021130,-17.132996
0.280000,-19.447398,-17.608606
0.285000,-19.753767,-18.043412
0.290000,-19.938347,-18.304437
0.295000,-20.000000,-18.304437
0.300000,-19.938347,-18.434949
0.305000,-19.753767,-18.304437
0.310000,-19.447398,-18.304437
0.315000,-19.021130,-18.434949
0.320000,-18.477591,-17.912316
0.325000,-17.820130,-17.525568
0.330000,-17.052803,-17.132996
0.335000,-16.180340,-16.227361
0.340000,-15.208119,-15.435862
0.345000,-14.142136,-14.666776
0.350000,-12.988961,-14.002797
0.355000,-11.755705,-12.840679
0.360000,-10.449971,-11.818253
0.365000,-9.079810,-10.341645
0.370000,-7.653669,-8.652542
0.375000,-6.180340,-7.278528
0.380000,-4.668907,-6.309637
0.385000,-3.128689,-4.535652
0.390000,-1.569182,-2.862405
0.395000,0.000000,-2.050309
0.400000,1.569182,-0.820418
0.405000,3.128689,1.230522
0.410000,4.668907,2.471665
0.415000,6.180340,4.114909
0.420000,7.653669,5.792796
0.425000,9.079810,7.431408
0.430000,10.449971,8.850787
0.435000,11.755705,9.824833
0.440000,12.988961,11.633634
0.445000,14.142136,12.528808
0.450000,15.208119,13.066774
0.455000,16.180340,14.370946
0.460000,17.052803,15.641680
0.465000,17.820130,16.420971
0.470000,18.477591,17.346077
0.475000,19.021130,18.043412
0.480000,19.447398,18.739281
0.485000,19.753767,19.088279
0.490000,19.938347,19.348472
