t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,1.569182,nan,-0.412193,0.824343,1.981375,nan,-482.709981,1.614839,1.572714,0,1.555708
0.005000,3.128689,1.569182,0.824343,1.236408,2.304346,0.744839,-513.770153,1.572714,1.527880,0,1.555708
0.010000,4.668907,3.128689,1.236408,2.454032,3.432500,1.892282,-665.681877,1.527880,1.469788,0,1.555708
0.015000,6.180340,4.668907,2.454032,3.704627,3.726308,2.214876,-699.250335,1.469788,1.408767,0,1.555708
0.020000,7.653669,6.180340,3.704627,5.792796,3.949041,2.475712,-731.870668,1.408767,1.344899,0,1.555708
0.025000,9.079810,7.653669,5.792796,7.431408,3.287013,1.860872,-635.701244,1.344899,1.289424,0,1.555708
0.030000,10.449971,9.079810,7.431408,8.714733,3.018563,1.648402,-581.042889,1.289424,1.238718,0,1.555708
0.035000,11.755705,10.449971,8.714733,9.530128,3.040972,1.735238,-545.580338,1.238718,1.191107,0,1.555708
0.040000,12.988961,11.755705,9.530128,11.228892,3.458833,2.225577,-547.741258,1.191107,1.143308,0,1.555708
0.045000,14.142136,12.988961,11.228892,12.528808,2.913244,1.760069,-427.019027,1.143308,1.106043,0,1.555708
0.050000,15.208119,14.142136,12.528808,13.431029,2.679312,1.613328,-380.020071,1.106043,1.072880,0,1.555708
0.055000,16.180340,15.208119,13.431029,14.237280,2.749311,1.777090,-390.718020,1.072880,1.038784,0,1.555708
0.060000,17.052803,16.180340,14.237280,15.546327,2.815523,1.943059,-415.227628,1.038784,1.002548,0,1.555708
0.065000,17.820130,17.052803,15.546327,16.460015,2.273803,1.506476,-362.082464,1.002548,0.970951,0,1.555708
0.070000,18.477591,17.820130,16.460015,17.132996,2.017576,1.360116,-333.142264,0.970951,0.941878,0,1.555708
0.075000,19.021130,18.477591,17.132996,18.043412,1.888134,1.344594,-310.927236,0.941878,0.914745,0,1.555708
0.080000,19.447398,19.021130,18.043412,18.824710,1.403986,0.977718,-229.800403,0.914745,0.894691,0,1.555708
0.085000,19.753767,19.447398,18.824710,18.958183,0.929057,0.622688,-146.995119,0.894691,0.881863,0,1.555708
0.090000,19.938347,19.753767,18.958183,19.348472,0.980163,0.795583,-140.963380,0.881863,0.869562,0,1.555708
0.095000,20.000000,19.938347,19.348472,19.736901,0.651528,0.589875,-79.598189,0.869562,0.862616,0,1.555708
0.100000,19.938347,20.000000,19.736901,19.736901,0.201445,0.263099,-0.961077,0.862616,0.862532,0,1.555708
0.105000,19.753767,19.938347,19.736901,19.736901,0.016865,0.201445,38.780197,0.862532,0.865916,0,1.555708
0.110000,19.447398,19.753767,19.736901,19.348472,-0.289503,0.016865,96.222047,0.865916,0.874313,0,1.555708
0.115000,19.021130,19.447398,19.348472,19.348472,-0.327341,0.098927,114.555313,0.874313,0.884310,0,1.555708
0.120000,18.477591,19.021130,19.348472,18.434949,-0.870881,-0.327341,206.640071,0.884310,0.902343,0,1.555708
0.125000,17.820130,18.477591,18.434949,18.434949,-0.614818,0.042642,181.353912,0.902343,0.918169,0,1.555708
0.130000,17.052803,17.820130,18.434949,17.650124,-1.382146,-0.614818,304.174947,0.918169,0.944713,0,1.555708
