t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,1.569182,nan,0.000000,0.412193,1.569182,nan,-420.928933,1.614839,1.578106,0,1.612377
0.005000,3.128689,1.569182,0.412193,1.227579,2.716497,1.156989,-562.360145,1.578106,1.529031,0,1.612377
0.010000,4.668907,3.128689,1.227579,2.471665,3.441328,1.901110,-663.485011,1.529031,1.471131,0,1.612377
0.015000,6.180340,4.668907,2.471665,4.114909,3.708675,2.197243,-704.627112,1.471131,1.409640,0,1.612377
0.020000,7.653669,6.180340,4.114909,5.792796,3.538760,2.065431,-677.897120,1.409640,1.350483,0,1.612377
0.025000,9.079810,7.653669,5.792796,7.022794,3.287013,1.860872,-618.738153,1.350483,1.296488,0,1.612377
0.030000,10.449971,9.079810,7.022794,8.714733,3.427177,2.057016,-599.552200,1.296488,1.244167,0,1.612377
0.035000,11.755705,10.449971,8.714733,9.936390,3.040972,1.735238,-496.807716,1.244167,1.200812,0,1.612377
0.040000,12.988961,11.755705,9.936390,10.823011,3.052571,1.819315,-463.514311,1.200812,1.160363,0,1.612377
0.045000,14.142136,12.988961,10.823011,12.123738,3.319124,2.165950,-469.647848,1.160363,1.119378,0,1.612377
0.050000,15.208119,14.142136,12.123738,13.335106,3.084381,2.018397,-431.774903,1.119378,1.081699,0,1.612377
0.055000,16.180340,15.208119,13.335106,14.237280,2.845234,1.873013,-414.059281,1.081699,1.045565,0,1.612377
0.060000,17.052803,16.180340,14.237280,15.546327,2.815523,1.943059,-432.994175,1.045565,1.007780,0,1.612377
0.065000,17.820130,17.052803,15.546327,16.738759,2.273803,1.506476,-377.755076,1.007780,0.974814,0,1.612377
0.070000,18.477591,17.820130,16.738759,16.738759,1.738832,1.081372,-300.947740,0.974814,0.948552,0,1.612377
0.075000,19.021130,18.477591,16.738759,18.043412,2.282372,1.738832,-370.757364,0.948552,0.916197,0,1.612377
0.080000,19.447398,19.021130,18.043412,18.566060,1.403986,0.977718,-229.743833,0.916197,0.896148,0,1.612377
0.085000,19.753767,19.447398,18.566060,19.348472,1.187707,0.881338,-184.588991,0.896148,0.880040,0,1.612377
0.090000,19.938347,19.753767,19.348472,19.348472,0.589875,0.405295,-83.780217,0.880040,0.872728,0,1.612377
0.095000,20.000000,19.938347,19.348472,19.348472,0.651528,0.589875,-79.566516,0.872728,0.865785,0,1.612377
0.100000,19.938347,20.000000,19.348472,19.736901,0.589875,0.651528,-57.461811,0.865785,0.860770,0,1.612377
0.105000,19.753767,19.938347,19.736901,19.736901,0.016865,0.201445,39.045511,0.860770,0.864178,0,1.612377
0.110000,19.447398,19.753767,19.736901,19.348472,-0.289503,0.016865,96.909059,0.864178,0.872635,0,1.612377
0.115000,19.021130,19.447398,19.348472,18.958183,-0.327341,0.098927,115.174862,0.872635,0.882686,0,1.612377
0.120000,18.477591,19.021130,18.958183,18.824710,-0.480593,0.062947,149.263882,0.882686,0.895711,0,1.612377
0.125000,17.820130,18.477591,18.824710,18.434949,-1.004580,-0.347119,235.474235,0.895711,0.916260,0,1.612377
0.130000,17.052803,17.820130,18.434949,17.650124,-1.382146,-0.614818,293.293129,0.916260,0.941855,0,1.612377
0.135000,16.180340,17.052803,17.650124,16.738759,-1.469784,-0.597321,299.637296,0.941855,0.968003,0,1.612377
0.140000,15.208119,16.180340,16.738759,15.832387,-1.530639,-0.558419,297.445511,0.968003,0.993960,0,1.612377
0.145000,14.142136,15.208119,15.832387,15.546327,-1.690251,-0.624267,305.969667,0.993960,1.020661,0,1.612377
0.150000,12.988961,14.142136,15.546327,14.534455,-2.557366,-1.404192,404.384788,1.020661,1.055950,0,1.612377
