t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,1.569182,nan,0.000000,1.762391,1.569182,nan,-640.359948,2.377161,2.321279,0,0.458629
0.005000,3.128689,1.569182,1.762391,2.642545,1.366298,-0.193209,-604.935090,2.321279,2.268489,0,0.458629
0.010000,4.668907,3.128689,2.642545,4.398705,2.026362,0.486144,-706.992804,2.268489,2.206792,0,0.458629
0.015000,6.180340,4.668907,4.398705,5.754565,1.781635,0.270202,-638.002054,2.206792,2.151116,0,0.458629
0.020000,7.653669,6.180340,5.754565,7.125016,1.899103,0.425775,-627.525973,2.151116,2.096354,0,0.458629
0.025000,9.079810,7.653669,7.125016,8.443191,1.954794,0.528652,-608.995515,2.096354,2.043209,0,0.458629
0.030000,10.449971,9.079810,8.443191,9.752425,2.006780,0.636619,-597.280539,2.043209,1.991086,0,0.458629
0.035000,11.755705,10.449971,9.752425,10.701351,2.003280,0.697546,-584.574290,1.991086,1.940072,0,0.458629
0.040000,12.988961,11.755705,10.701351,12.528808,2.287610,1.054354,-627.522503,1.940072,1.885311,0,0.458629
0.045000,14.142136,12.988961,12.528808,13.928342,1.613328,0.460153,-510.302027,1.885311,1.840779,0,0.458629
0.050000,15.208119,14.142136,13.928342,14.788678,1.279777,0.213794,-444.149523,1.840779,1.802019,0,0.458629
0.055000,16.180340,15.208119,14.788678,15.883854,1.391662,0.419442,-448.783642,1.802019,1.762855,0,0.458629
0.060000,17.052803,16.180340,15.883854,16.741970,1.168950,0.296486,-388.205176,1.762855,1.728978,0,0.458629
0.065000,17.820130,17.052803,16.741970,17.300527,1.078160,0.310833,-344.332693,1.728978,1.698929,0,0.458629
0.070000,18.477591,17.820130,17.300527,17.727629,1.177063,0.519603,-330.197826,1.698929,1.670114,0,0.458629
0.075000,19.021130,18.477591,17.727629,18.718589,1.293501,0.749961,-316.697269,1.670114,1.642477,0,0.458629
0.080000,19.447398,19.021130,18.718589,19.142268,0.728809,0.302541,-178.843377,1.642477,1.626870,0,0.458629
0.085000,19.753767,19.447398,19.142268,19.142268,0.611499,0.305130,-121.214894,1.626870,1.616292,0,0.458629
0.090000,19.938347,19.753767,19.142268,19.714295,0.796078,0.611499,-118.042376,1.616292,1.605991,0,0.458629
0.095000,20.000000,19.938347,19.714295,19.714295,0.285705,0.224052,10.267632,1.605991,1.606887,0,0.458629
0.100000,19.938347,20.000000,19.714295,19.142268,0.224052,0.285705,57.288163,1.606887,1.611886,0,0.458629
0.105000,19.753767,19.938347,19.142268,19.714295,0.611499,0.796078,22.759635,1.611886,1.613873,0,0.458629
0.110000,19.447398,19.753767,19.714295,18.718589,-0.266896,0.039472,215.756624,1.613873,1.632701,0,0.458629
0.115000,19.021130,19.447398,18.718589,18.718589,0.302541,0.728809,146.786802,1.632701,1.645510,0,0.458629
0.120000,18.477591,19.021130,18.718589,17.864860,-0.240998,0.302541,277.201243,1.645510,1.669701,0,0.458629
0.125000,17.820130,18.477591,17.864860,17.300527,-0.044730,0.612730,272.055193,1.669701,1.693442,0,0.458629
0.130000,17.052803,17.820130,17.300527,17.168172,-0.247724,0.519603,335.968184,1.693442,1.722761,0,0.458629
0.135000,16.180340,17.052803,17.168172,15.883854,-0.987833,-0.115369,491.540859,1.722761,1.765656,0,0.458629
0.140000,15.208119,16.180340,15.883854,14.902654,-0.675734,0.296486,447.770605,1.765656,1.804731,0,0.458629
0.145000,14.142136,15.208119,14.902654,14.359337,-0.760519,0.305465,468.161551,1.804731,1.845586,0,0.458629
0.150000,12.988961,14.142136,14.359337,12.961402,-1.370376,-0.217201,572.932027,1.845586,1.895584,0,0.458629
0.155000,11.755705,12.988961,12.961402,11.659293,-1.205697,0.027559,532.317700,1.895584,1.942037,0,0.458629
0.160000,10.449971,11.755705,11.659293,10.701351,-1.209321,0.096412,523.848884,1.942037,1.987752,0,0.458629
0.165000,9.079810,10.449971,10.701351,9.827724,-1.621541,-0.251379,589.201804,1.987752,2.039169,0,0.458629
0.170000,7.653669,9.079810,9.827724,7.565321,-2.174055,-0.747914,683.950637,2.039169,2.098855,0,0.458629
0.175000,6.180340,7.653669,7.565321,6.193905,-1.384981,0.088348,563.206207,2.098855,2.148004,0,0.458629
0.180000,4.668907,6.180340,6.193905,4.873896,-1.524998,-0.013565,605.156500,2.148004,2.200814,0,0.458629
0.185000,3.128689,4.668907,4.873896,3.521453,-1.745207,-0.204989,663.743407,2.200814,2.258737,0,0.458629
0.190000,1.569182,3.128689,3.521453,1.321976,-1.952271,-0.392764,716.206712,2.258737,2.321237,0,0.458629
0.195000,-0.000000,1.569182,1.321976,0.000000,-1.321976,0.247206,609.345023,2.321237,2.374413,0,0.458629
0.200000,-1.569182,-0.000000,0.000000,-1.762391,-1.569182,-0.000000,640.892018,2.374413,2.430341,0,0.458629
0.205000,-3.128689,-1.569182,-1.762391,-2.642545,-1.366298,0.193209,586.956338,2.430341,2.481563,0,0.458629
0.210000,-4.668907,-3.128689,-2.642545,-3.990913,-2.026362,-0.486144,683.009562,2.481563,2.541167,0,0.458629
0.215000,-6.180340,-4.668907,-3.990913,-5.754565,-2.189427,-0.677994,699.803026,2.541167,2.602236,0,0.458629
0.220000,-7.653669,-6.180340,-5.754565,-7.507347,-1.899103,-0.425775,649.317132,2.602236,2.658900,0,0.458629
0.225000,-9.079810,-7.653669,-7.507347,-8.880659,-1.572463,-0.146322,595.533440,2.658900,2.710870,0,0.458629
0.230000,-10.449971,-9.079810,-8.880659,-9.752425,-1.569312,-0.199151,593.174832,2.710870,2.762634,0,0.458629
0.235000,-11.755705,-10.449971,-9.752425,-11.569972,-2.003280,-0.697546,660.573241,2.762634,2.820280,0,0.458629
0.240000,-12.988961,-11.755705,-11.569972,-12.862751,-1.418989,-0.185733,539.596225,2.820280,2.867368,0,0.458629
0.245000,-14.142136,-12.988961,-12.862751,-13.290801,-1.279385,-0.126210,491.125871,2.867368,2.910227,0,0.458629
0.250000,-15.208119,-14.142136,-13.290801,-14.676393,-1.917318,-0.851334,579.442266,2.910227,2.960793,0,0.458629
0.255000,-16.180340,-15.208119,-14.676393,-15.524111,-1.503947,-0.531726,481.084228,2.960793,3.002776,0,0.458629
0.260000,-17.052803,-16.180340,-15.524111,-16.488754,-1.528692,-0.656229,459.633391,3.002776,3.042886,0,0.458629
0.265000,-17.820130,-17.052803,-16.488754,-17.459203,-1.331377,-0.564050,395.992443,3.042886,3.077443,0,0.458629
0.270000,-18.477591,-17.820130,-17.459203,-17.878697,-1.018388,-0.360928,307.494370,3.077443,3.104277,0,0.458629
