t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,2.818025,nan,-0.824343,2.060111,nan,-1283.364619,1.614839,1.502844,0
0.005000,5.579822,2.818025,2.060111,4.557419,0.757914,-1184.076663,1.502844,1.399514,0
0.010000,8.230287,5.579822,4.557419,7.022794,1.022403,-1166.468064,1.399514,1.297720,0
0.015000,10.716536,8.230287,7.022794,10.007980,1.207493,-1110.206857,1.297720,1.200837,0
0.020000,12.988961,10.716536,10.007980,11.633634,0.708556,-846.045663,1.200837,1.127005,0
0.025000,15.002221,12.988961,11.633634,14.136062,1.355327,-787.547453,1.127005,1.058279,0
0.030000,16.716147,15.002221,14.136062,15.435862,0.866160,-608.014470,1.058279,1.005219,0
0.035000,18.096541,16.716147,15.435862,17.132996,1.280285,-578.560443,1.005219,0.954731,0
0.040000,19.115860,18.096541,17.132996,17.650124,0.963545,-391.473298,0.954731,0.920568,0
0.045000,19.753767,19.115860,17.650124,18.958183,1.465736,-321.169792,0.920568,0.892541,0
0.050000,19.997533,19.753767,18.958183,18.958183,0.795583,-44.839582,0.892541,0.888628,0
0.055000,19.842294,19.997533,18.958183,18.958183,1.039349,71.457897,0.888628,0.894864,0
0.060000,19.291148,19.842294,18.958183,18.043412,0.884111,252.192990,0.894864,0.916872,0
0.065000,18.355093,19.291148,18.043412,17.255111,1.247736,334.436375,0.916872,0.946057,0
0.070000,17.052803,18.355093,17.255111,16.342883,1.099982,485.079605,0.946057,0.988388,0
0.075000,15.410265,17.052803,16.342883,15.037816,0.709921,631.363494,0.988388,1.043485,0
0.080000,13.460250,15.410265,15.037816,13.335106,0.372449,705.899555,1.043485,1.105086,0
0.085000,11.241668,13.460250,13.335106,11.551007,0.125144,775.345733,1.105086,1.172748,0
0.090000,8.798783,11.241668,11.551007,9.122896,-0.309340,966.006986,1.172748,1.257048,0
0.095000,6.180340,8.798783,9.122896,6.613460,-0.324113,1142.821312,1.257048,1.356778,0
0.100000,3.438582,6.180340,6.613460,3.704627,-0.433121,1221.891593,1.356778,1.463408,0
0.105000,0.628215,3.438582,3.704627,0.824343,-0.266045,1175.991632,1.463408,1.566032,0
0.110000,-2.194686,0.628215,0.824343,-1.648345,-0.196128,1159.216240,1.566032,1.667193,0
0.115000,-4.973798,-2.194686,-1.648345,-4.114909,-0.546342,1229.232399,1.667193,1.774464,0
0.120000,-7.653669,-4.973798,-4.114909,-6.159163,-0.858889,1295.217547,1.774464,1.887493,0
0.125000,-10.180828,-7.653669,-6.159163,-8.652542,-1.494506,1391.651605,1.887493,2.008938,0
0.130000,-12.504853,-10.180828,-8.652542,-10.745857,-1.528287,1318.987475,2.008938,2.124041,0
0.135000,-14.579373,-12.504853,-10.745857,-12.439562,-1.758996,1227.258200,2.124041,2.231139,0
0.140000,-16.362994,-14.579373,-12.439562,-14.136062,-2.139811,1132.892777,2.231139,2.330003,0
0.145000,-17.820130,-16.362994,-14.136062,-15.037816,-2.226933,953.254912,2.330003,2.413190,0
0.150000,-18.921707,-17.820130,-15.037816,-16.227361,-2.782315,826.917554,2.413190,2.485352,0
0.155000,-19.645745,-18.921707,-16.227361,-16.738759,-2.694346,537.063364,2.485352,2.532220,0
0.160000,-19.977797,-19.645745,-16.738759,-17.132996,-2.906986,282.456250,2.532220,2.556869,0
0.165000,-19.911239,-19.977797,-17.132996,-17.132996,-2.844801,-29.228730,2.556869,2.554318,0
0.170000,-19.447398,-19.911239,-17.132996,-16.620757,-2.778243,-316.804161,2.554318,2.526672,0
0.175000,-18.595530,-19.447398,-16.620757,-16.342883,-2.826641,-535.704598,2.526672,2.479923,0
0.180000,-17.372630,-18.595530,-16.342883,-15.435862,-2.252647,-824.819989,2.479923,2.407944,0
0.185000,-15.803100,-17.372630,-15.435862,-14.534455,-1.936768,-995.844953,2.407944,2.321040,0
0.190000,-13.918256,-15.803100,-14.534455,-12.840679,-1.268645,-1188.335808,2.321040,2.217338,0
0.195000,-11.755705,-13.918256,-12.840679,-11.148990,-1.077577,-1256.796966,2.217338,2.107662,0
0.200000,-9.358596,-11.755705,-11.148990,-8.652542,-0.606715,-1366.899865,2.107662,1.988377,0
0.205000,-6.774758,-9.358596,-8.652542,-7.022794,-0.706054,-1338.807571,1.988377,1.871544,0
0.210000,-4.055746,-6.774758,-7.022794,-4.114909,0.248035,-1449.408483,1.871544,1.745059,0
0.215000,-1.255810,-4.055746,-4.114909,-1.236408,0.059163,-1288.294921,1.745059,1.632634,0
0.220000,1.569182,-1.255810,-1.236408,0.824343,-0.019403,-1162.214171,1.632634,1.531212,0
0.225000,4.362865,1.569182,0.824343,3.293965,0.744839,-1211.002446,1.531212,1.425532,0
0.230000,7.069497,4.362865,3.293965,6.203448,1.068900,-1203.918295,1.425532,1.320471,0
0.235000,9.635073,7.069497,6.203448,9.122896,0.866049,-1098.410707,1.320471,1.224616,0
0.240000,12.008405,9.635073,9.122896,11.228892,0.512177,-883.615261,1.224616,1.147506,0
0.245000,14.142136,12.008405,11.228892,13.335106,0.779513,-750.696282,1.147506,1.081996,0
0.250000,15.993693,14.142136,13.335106,15.037816,0.807029,-638.768430,1.081996,1.026252,0
0.255000,17.526134,15.993693,15.037816,16.342883,0.955877,-572.554251,1.026252,0.976288,0
0.260000,18.708881,17.526134,16.342883,17.650124,1.183251,-492.924784,0.976288,0.933272,0
